singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Chimay Trippel","https://beerrecipes.org/Recipe/672/chimay-trippel.html","Beer Style: Belgian Golden Strong Ale (18D)

Recipe Type: extract

Yield: 7 US gallons","Source:
Chuck Cox","3.8 stars based on 8 votes

No reviews","3.3 pounds, pale unhopped extract syrup","12 pounds, pale dry extract","1 pound, 6-row pale malt","1 pound, wheat malt","1 pound, Vienna malt","2 pounds, light brown sugar","1/2 pound, corn sugar","10 grams, coriander","8 grams, orange peel","4 HBUs, Saaz hops (boil)","4 HBUs, Hallertauer hops (boil)","4-1/2 HBUs, Fuggles hops (boil)","This is a 7-gallon partial mash recipe. Use standard procedures, brewing about 7 gallons of wort in a 10-gallon kettle, followed by a 7-gallon primary and 2 5-gallon secondaries or a 7-gallon secondary. Then keg (or bottle). The yeast was cultured from a bottle of Chimay."
"Scorched Stout","https://beerrecipes.org/Recipe/984/scorched-stout.html","Beer Style: Sweet Stout (13B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.037
 Final Gravity: 1.009
 Alcohol by Vol: 3.66%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.7 stars based on 18 votes

No reviews","3.6 lbs Coopers Pre-Hopped Liquid Stout Extract",".5 oz Chinook Hops (10min)","1 lb Light Dry Malt Extract",".5 lb Corn Sugar (boil)","Coopers Dry Ale Yeast","6 oz Corn Sugar (priming)","null","null","null","null","null","null","Bring 2 gal of water to a boil in your brew pot. Remove from heat at boil and add Stout Extract. Once dissolved, return to heat and once back to boil add Dry Malt Extract. Let boil for 50min. Add hops with 10min left in the boil. Remove from heat after 60min and cool in ice bath or with other preferred chilling method.



While cooling, add 3 gallons of cold water to primary fermenter. Rack cooled wort on top of water. Top off to 5 gal mark if needed. Pitch yeast directly into beer. Seal fermenter and apply airlock.



I let this beer stay in primary for about 2 weeks, racked to a bottling bucket and then added the dissolved priming sugar into the bottling bucket. Bottled and allowed to age for 2 more weeks. In the end, the beer tasted very good though in the future I might add lactose to the boil to increase the sweetness. Cheers"
"Bad Wolf Blonde Ale","https://beerrecipes.org/Recipe/10702/bad-wolf-blonde-ale.html","Beer Style: Blonde Ale (6B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.051 (12.6° P)
 Final Gravity: 1.011 SG (2.7° P)
 Alcohol by Vol: 5.3%
 Color SRM: 4.0  Color Sample 
 Bitterness IBU: 22.2
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","1.00 tsp - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc)","8 lbs 4.0 oz - Pale Malt (2 Row), NW Pale (2.0 SRM) (Grain)","12.0 oz - White Wheat Malt (2.4 SRM) (Grain)","8.0 oz - Caramel/Crystal Malt - 10L (10.0 SRM) (Grain)","4.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","0.2 oz - Galena [13.0%] - Boil 55 min (Hops)","0.2 oz - Cascade [6.4%] - Boil 25 min (Hops)","0.2 oz - Cascade [6.4%] - Boil 10 min (Hops)","0.2 oz - Columbus (Tomahawk) [12.9%] - Boil 10 min (Hops)","0.2 oz - Cascade [6.4%] - Boil 5 min (Hops)","1 pkgs - German Ale/Kolsch (White Labs #WLP029) (Yeast)","null","null"
"MrCajuns Foursome DIPA","https://beerrecipes.org/Recipe/12771/mrcajuns-foursome-dipa.html","Beer Style: Imperial IPA (14C)

Recipe Type: all-grain

Yield: 8.45 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","15 lbs 6.9 oz - Pilsner (2 Row) UK (1.0 SRM) (Grain)","2 lbs 3.3 oz - Caramel/Crystal Malt -120L (120.0 SRM) (Grain)","3.5 oz - Wheat Malt, Bel (2.0 SRM) (Grain)","2 lbs 3.3 oz - Sugar, Table (Sucrose) (1.0 SRM) (Grain)","3.2 oz - Amarillo Gold [8.5%] - Boil 60 min (Hops)","3.2 oz - Palisade [7.5%] - Boil 60 min (Hops)","1.1 oz - Cascade [5.5%] - Boil 30 min (Hops)","1.1 oz - Willamette [5.5%] - Boil 30 min (Hops)","0.42 tsp - Irish Moss (Boil 10 min) (Misc)","1.4 oz - Amarillo Gold [8.5%] - Boil 5 min (Hops)","2 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","2.1 oz - Amarillo Gold [8.5%] - Dry Hop 10 days (Hops)","null"
"SEA American Pale Ale","https://beerrecipes.org/Recipe/13477/sea-american-pale-ale.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","5.28 gal - Valinhos, SP, Brasil (Water)","11 lbs 14.5 oz - Pilsner (2 Row) UK (1.0 SRM) (Grain)","2 lbs 10.3 oz - Carared (20.0 SRM) (Grain)","1.0 oz - Magnum [14.0%] - Boil 45 min (Hops)","0.5 oz - Cascade [5.5%] - Boil 5 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","null","null","null","null","null","null","null"
"Homebrew Rootbeer","https://beerrecipes.org/Recipe/13399/homebrew-rootbeer.html","Beer Style: Specialty Beer (23A)

Recipe Type: extract

Yield: 5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","3 lbs - Cane (Beet) Sugar (0.0 SRM) (Grain)","1 lbs - Milk Sugar (Lactose) (0.0 SRM) (Grain)","8.0 oz - Maple Syrup (35.0 SRM) (Grain)","8.0 oz - Molasses (80.0 SRM) (Grain)","1.00 oz - Wintergreen Leaves (Boil 60 min) (Misc)","3.00 oz - Sarsaparilla Root (Boil 60 min) (Misc)","2.00 oz - Licorice Root (Boil 60 min) (Misc)","1.00 mg - Vanilla bean (Boil 0 min) (Misc)","null","null","null","null","null"
"Not Franz, But Close","https://beerrecipes.org/Recipe/12479/not-franz-but-close.html","Beer Style: Dunkelweizen (15B)

Recipe Type: all-grain

Yield: 6 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","1 lbs - Rice Hulls (0.0 SRM) (Grain)","6 lbs 12.0 oz - Wheat Malt, Ger (2.0 SRM) (Grain)","2 lbs 12.0 oz - Munich Malt (9.0 SRM) (Grain)","2 lbs 12.0 oz - Vienna Malt (3.5 SRM) (Grain)","11.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","11.0 oz - Chocolate Malt (350.0 SRM) (Grain)","0.6 oz - Tettnang [3.7%] - Boil 60 min (Hops)","0.5 oz - Tettnang [3.7%] - Boil 45 min (Hops)","1.00 tsp - A Yeast Nutrient (Boil 10 min) (Misc)","1.00 - A Whirlfloc Tablet (Boil 5 min) (Misc)","0.2 oz - Tettnang [3.7%] - Steep 15 min (Hops)","1 pkgs - Hefeweizen Ale (White Labs #WLP300) (Yeast)","null"
"Too Sweet Clone","https://beerrecipes.org/Recipe/235/too-sweet-clone.html","Beer Style: American Pale Ale (10A)

Recipe Type: extract

Yield: 5 US gallons","Source:
John Herman","3.9 stars based on 12 votes

No reviews","3.3 lbs M&F Unhopped Amber Extract (boil 30 mins)","3.3 lbs M&F Unhopped Light Extract (boil 30 mins)",".5 lbs Crystal Malt 60L","1 oz Northern Brewers Plugs (boil 30 mins)",".5 oz Northern Brewers Plugs (boil 20 mins)",".25 oz Cascade Pellets (boil 10 mins)",".25 oz Cascade Pellets (boil 0 mins, let sit for 20 mins)","M&F Dry Ale yeast","1/4 teaspoon Irish Moss (boil 10 mins)","null","null","null","Add Crystal malt to 1 1/2 galls of cold water and bring to a boil. Remove Crystal malt, add extract and 1 oz of Northern Brewers Hops. Boil for 30 mins adding 1/2 oz of Norther Brewers Hops at 20 mins, 1/4 oz of Cascade Hops at 10 minutes, Irish Moss at 10 minutes, and 1/4 oz of Cascade Hops at the end of the boil. Remove heat and let sit for 20 minutes. Strain into primary fermenter. Add 3 1/2 galls of cold water. Cool using a submersion Wort Chiller to 70 degrees (f). Add yeast. Ferment at room temperature. After one week in primary, transfer to secondary fermenter and let sit at room temperature for one week. Transfer to bottling bucket, add 1 pint of boiled water with 3/4 cup of corn sugar for bottling. Bottle and wait."
"Citadel Summer Amber","https://beerrecipes.org/Recipe/123/citadel-summer-amber.html","Beer Style: American Amber Ale (10B)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.033
 Final Gravity: 1.010
 Alcohol by Vol: 3.01%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.8 stars based on 18 votes

No reviews","3.3 pounds, American Classic light liquid extract","1 pound, Laaglander light dry malt extract","1/2 pound, crystal malt (40L)","1 teaspoon, Irish moss (10 minute boil)","1/2 ounce, Cascade pellets (60 minute boil)","1--1/2 ounces, Cascade pellets (20 minute boil)","1 ounce, Cascade pellets (finish after boil)","1 ounce, Cascade pellets (dry hop in secondary)","2 packages, Munton & Fison ale yeast (rehydrated)","1/2 cup, corn sugar (priming)","null","null","null"
"Tracadie Porter","https://beerrecipes.org/Recipe/9301/tracadie-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","5 lbs 15.2 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","3 lbs 6.0 oz - Brown Malt (65.0 SRM) (Grain)","9.5 oz - Black Barley (Stout) (500.0 SRM) (Grain)","0.7 oz - Northern Brewer [8.5%] - Boil 60 min (Hops)","0.7 oz - Fuggles [4.5%] - Boil 30 min (Hops)","0.4 oz - Fuggles [4.5%] - Boil 15 min (Hops)","0.4 oz - Goldings, B.C. [5.0%] - Boil 5 min (Hops)","1 pkgs - British Ale Yeast (Wyeast Labs #1098) (Yeast)","null","null","null","null","null"
"Baer's Stout","https://beerrecipes.org/Recipe/314/baers-stout.html","Beer Style: Dry Stout (13A)

Recipe Type: extract

Yield: 5 US gallons","Original Gravity: 1.051
 Final Gravity: 1.018
 Alcohol by Vol: 4.32%
 Recipe Type: extract
 Yield: 5.00 US Gallons","3.8 stars based on 10 votes

No reviews","1/4 pound, flaked barley","1/4 pound, medium crystal malt","6 pounds, dark Australian malt extract","1/2 pound, dark Australian dry malt","1/4 pound, black patent malt","1/2 cup, molasses","2 ounces, Cascade hops (boil)","2/3 ounce, Northern Brewer hops (finish)","Wyeast British ale yeast","null","null","null","Steep flaked barley and crystal malt for 50 minutes at 153 degrees. Strain and boil 90 minutes. Add 1/3 of boiling hops after 30 minutes. Add black patent and molasses at 45 minutes. After 60 minutes add 1/3 of boiling hops. At end of boil add remaining hops. Steep. Strain, cool, and ferment."
"Michigan Summer Wheat Ale","https://beerrecipes.org/Recipe/13900/michigan-summer-wheat-ale.html","Beer Style: American Wheat or Rye Beer (6D)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.048
 Final Gravity: 1.012
 Alcohol by Vol: 4.7%
 Color SRM: 8  Color Sample 
 Bitterness IBU: 29
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","4.0 stars based on 2 votes

No reviews","4.0 lbs. (1.8 kg) American wheat malt","3.0 lbs. (1.4 kg) American Pilsen malt","2.0 lbs. (0.9 kg) American Vienna malt","8 oz. (227 g) American crystal malt (10 °L)","8 oz. (227 g) American CaraPils® malt","4.25 AAU Mt. Hood hops (60 mins) (1.0 oz./28 g of 4.25% alpha acids)","4.25 AAU Mt. Hood hops (20 mins) (1 oz./28 g of 4.25% alpha acids)","1 oz. (28 g) Mt. Hood hops (5 mins)","1 tsp. Irish moss (15 mins)","1 tsp crushed coriander seed (5 mins)","Fermentis SafBrew S -33 yeast","0.75 cups corn sugar (for priming)","Mash at 152 °F (67 °C) in 1.15 quarts (1.1 L) of water per lb. (kg) of grain. Sparge and collect 7.0 gallons (26 L) for a 60-minute vigorous boil. Ferment at 70 °F (21 °C) to enhance yeast profile"
"Three Hour Tour Ginger Pale Ale","https://beerrecipes.org/Recipe/555/three-hour-tour-ginger-pale-ale.html","Beer Style: Spice, Herb, or Vegetable Beer (21A)

Recipe Type: extract

Yield: 5 US gallons","Source:
Anonymous","3.8 stars based on 16 votes

No reviews","8 lbs. Alexander's Pale Malt Extract","1/2 lb. crystal malt","1/4 lb. toasted malt","1 1/2 oz. Northern Brewer hops - 6.4%","1/2 oz. Cascade hops - 5.9% (finishing)","1/2 oz. Cascade hops - 5.9% (dry)","3/4 oz. fresh grated ginger","1/2 tsp. Irish moss","pkg. Wyeast 1056 - American Ale Yeast","1 1/4 cup pale dried malt extract (priming)","null","null","Put on Axis: Bold as Love by Jimi Hendrix. Steep crushed grains in muslin bag. When water boils, add malt extract and Northern Brewer hops. After 45 minutes, add Irish moss and ginger. Add Cascade hops during final two minutes of boil. Allow to steep for few minutes, cool wort in Scottie's Patented Wort Chillin' Device. Sparge into fermenter. Pitch yeast when cool. Ferment for about 1 week in primary and rack to secondary fermenter. Dry hop with 1/2 oz. Cascades Allow to sit for 1-2 weeks. Prime with DME dissolved in 1 pint of water. Bottle and enjoy!"
"Belgian Ale","https://beerrecipes.org/Recipe/736/belgian-ale.html","Beer Style: Belgian Pale Ale (16B)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Robert Aves","3.8 stars based on 5 votes

No reviews","8.5 lbs. 2-row pale malt","1.5 lbs. Munich Malt","4 oz. Crystal Malt (35 Lovibond)","1 oz. Chocolate Malt","1 lb. Demerrara sugar","1/2 tsp Gypsum Mash & Sparge each","1 oz. Hallertau (3.8%)","3/4 oz. Stryian Goldings(5.0%)","1/2 oz. Saaz (3.5%)","1 Tsp Irish Moss","Chimay Yeast starter (1.5 Qts.)","null","Mash in with 12 qts. water @ 122 degrees F. and rest 30 min. Raise to 140 F and rest 10-15 min. Raise to 150 F and wait till starch is converted(90 min.) Mash out at 168 F and rest 10 min. Sparge with 168 F water to collect 23-24 litres(5.75-6.0 Gallons) Boil for 70-90 min. with the following hop schedule.-- 1 oz. Hallertau for 65-70 min. 1/2 oz. Stryian Goldings for 65 min.-- 1/4 oz. S. Goldings for 40 min. 1/2 oz. Saaz for the final 3 min. -- Cool to pitching temperature(68-70F) and pitch yeast starter. I racked this brew when primary fermentation was done and added 1/4 oz. of Saaz to the secondary (dry hop) and let sit for 2 weeks before bottling. Added 3/4 cup of dextrose to prime. Make sure you let this beer condition in the bottle for at least 3 months before sampling. Actually it gets better after 6 months in the bottle. By the way, this recipe is for 5 U.S. gallons and you may want to increase or decrease the amount of grains depending on the efficiency of your system. My starting gravity was 1.068 and finished off at 1.012.( about 7.4% A/V)."
"Sierra Madre Pale Ale (Northern Brewer)","https://beerrecipes.org/Recipe/10575/sierra-madre-pale-ale-northern-brewer.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","1.00 tbsp - PH 5.2 Stabilizer (Mash 60 min) (Misc)","10 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","12.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","0.8 oz - Chinook [13.0%] - Boil 45 min (Hops)","0.8 oz - Perle [7.0%] - Boil 20 min (Hops)","1.00 tsp - Irish Moss (Boil 15 min) (Misc)","0.50 tsp - Yeast Nutrient (Boil 10 min) (Misc)","2.0 oz - Cascade [5.5%] - Steep 0 min (Hops)","1 pkgs - American Ale (Wyeast Labs #1056) (Yeast)","null","null","null","null"
"Good Karma Honey IPA","https://beerrecipes.org/Recipe/13557/good-karma-honey-ipa.html","Beer Style: American IPA (14B)

Recipe Type: extract

Yield: 2.5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","8.0 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","4.0 oz - Honey Malt (25.0 SRM) (Grain)","3 lbs - Light Dry Extract (8.0 SRM) (Grain)","1 lbs - Honey (1.0 SRM) (Grain)","0.6 oz - Warrior [15.0%] - Boil 60 min (Hops)","0.5 oz - Citra [12.0%] - Boil 30 min (Hops)","0.5 oz - Amarillo Gold [8.5%] - Boil 10 min (Hops)","0.5 oz - Amarillo Gold [8.5%] - Dry Hop 7 days (Hops)","0.5 oz - Citra [12.0%] - Dry Hop 7 days (Hops)","null","null","null","null"
"Valkyrie","https://beerrecipes.org/Recipe/8592/valkyrie.html","Beer Style: American Pale Ale (10A)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","8.19 gal - Thomas Franssons IPA-profil (Water)","7.47 g - Gypsum (Calcium Sulfate) (Mash 60 min) (Misc)","2.77 g - Chalk (Mash 60 min) (Misc)","1.79 g - Epsom Salt (MgSO4) (Mash 60 min) (Misc)","1.44 g - Baking Soda (Mash 60 min) (Misc)","0.86 g - Salt (Mash 60 min) (Misc)","0.17 g - Calcium Chloride (Mash 60 min) (Misc)","8 lbs 13.1 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain)","1 lbs 12.2 oz - Cara Pale (4.1 SRM) (Grain)","0.2 oz - Chinook [13.0%] - Boil 60 min (Hops)","0.2 oz - Simcoe [13.0%] - Boil 60 min (Hops)","4.23 g - MM Klar (Boil 10 min) (Misc)","null"
"Harvey's Blue Beer","https://beerrecipes.org/Recipe/656/harveys-blue-beer.html","Beer Style: Fruit Beer (20A)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Anonymous","3.9 stars based on 11 votes

No reviews","5 1/2 lbs Hugh Baird Pale Malt","1/2 lb Crystal Malt","1 lb Wheat Malt","1/2 lb Corn Sugar","4 Cups Blueberries","1/2 oz Willamet Hops (boil)","1/4 oz Saaz Hops (10 minutes)","Yeast of your choice, Wyeast 1056 or Coopers Dry is preferred by us","null","null","null","null","Mash in 9 qts 140 F. water, raise to 152 F and convert for 90 minutes. Mash out 5 minutes at 168 F. Sparge with 5 gal. of 168 F acidified sparge water. Boil 60 min to 90 min or until volume adequately reduced. Mash berries with potato masher in bowl with corn sugar untill a pulpy mess. Add to hot wort when it has cooled to about 180 F and cover and let sit around 20 minutes, then chill as normal (we use an imersion chiller, berry bits could clog a counterflow) and ferment."
"Notown - Chair City IPA","https://beerrecipes.org/Recipe/10673/notown-chair-city-ipa.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5.08 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","10 lbs - Pale Ale Malt 2-Row (Briess) (3.5 SRM) (Grain)","1 lbs 4.0 oz - White Wheat Malt (2.4 SRM) (Grain)","8.0 oz - Turbinado (10.0 SRM) (Grain)","1.0 oz - Apollo [17.0%] - Boil 15 min (Hops)","1.0 oz - Citra [12.0%] - Boil 10 min (Hops)","1.0 oz - Falconer's Flight [11.0%] - Boil 10 min (Hops)","1.0 oz - Zythos [10.9%] - Boil 10 min (Hops)","0.5 oz - 4190 [3.6%] - Boil 10 min (Hops)","0.5 oz - Centennial [10.0%] - Boil 10 min (Hops)","1 pkgs - California Ale (White Labs #WLP001) (Yeast)","1 pkgs - SafAle English Ale (DCL/Fermentis #S-04) (Yeast)","0.5 oz - 4190 [3.6%] - Dry Hop 0 days (Hops)","null"
"Mach Guinness","https://beerrecipes.org/Recipe/332/mach-guinness.html","Beer Style: Dry Stout (13A)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.066
 Final Gravity: 1.016
 Alcohol by Vol: 6.55%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.8 stars based on 12 votes

No reviews","5 pounds, pale 2 row British malt","1 pound, rolled barley","1 pound, roasted barley","2 pounds, light dry malt extract","2 cups, corn sugar","2 ounces, bullion Hops (1.5 boiling, 0.5 finishing)","null","null","null","null","null","null","Mash 5 pounds 2-row, rolled barley and roasted barley in at 132 degrees. Protein rest 30 minutes. Starch conversion 2 hours at 153 degrees. Mashed out 15 minutes at 168 degrees. Sparged with 4 gallons 172 degree water. Add the 2 pounds dry ME and the 2 cups sugar. Bring to a boil. Add 1 1/2 ounces of hops. Boil 1 hour. Add 1/2 ounce of hops, turn off heat, and let stand for 15 minutes. Cool wort to 72 degrees, strain into fermenter, and pitch yeast. 



Bottling: one to two days before bottling, sour two bottles of ale. To do this, pour two bottles of ale into a steril glass container. Cover with a clean cloth secured with string or rubber band. Put in the cupboard (or somewhere relatively dark and warm) and let stand one to two days. It should sour, but not mold. Add 2/3 cup corn sugar to the sour ale and boil for 10 minutes. Pour into bottling bucket. Add sour ale and bottle as usual."
"Spring Equinox Honey IPA","https://beerrecipes.org/Recipe/13970/spring-equinox-honey-ipa.html","Beer Style: American IPA (14B)

Recipe Type: extract

Yield: 5 US gallons","Alcohol by Vol: 5.6%
 Recipe Type: extract
 Yield: 5.00 US Gallons","4.0 stars based on 1 votes

No reviews","7lb Pilsner DME","1lb Honey Malt","0.25ish lb Wheat Malt for head retention","0.5 oz Equinox hops at 60 mins","0.5 oz Equinox hops at 30 mins","1 oz Equinox hops at flameout","Safale S-04, but will try S-05 next time","A bit of raw honey to make a starter","2 oz Equinox hops for dry hopping","null","null","null","Make your starter! Raw honey is naturally antibacterial. Some folks say it kills yeast or gets yeast used to simple sugars instead of complex ones... This has not been my experience and my honey starters usually make for a better fermentation. Also, that tiny amount of honey allows the beer to age more gracefully.

I make a half gallon starter 2-3 days before brew day.



Steep your grains at 150 F ish for an hour. 

Let them drip back in for 30ish minutes and toss.

Bring the whole shebang to a boil, follow hop ""schedule.""

With about 10 minutes or less left to boil, add your sugars and a bit of yeast nutrient if you wish.

About this time, I have thought about adding blue or green food coloring to give it more of a St. Pats feel to it, but I cooked my sugar too long last time.

Load it up and let it ferment for 2 weeks.

Transfer to secondary, add 2 oz Equinox to dry hop for another 2 weeks.

Bottle, wait 2 weeks, crack open on the Spring Equinox and enjoy!



This one requires a bit of planning times and the like, but it's worth it that first day."
"Alcatraz Porter","https://beerrecipes.org/Recipe/330/alcatraz-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.054
 Final Gravity: 1.010
 Alcohol by Vol: 5.76%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","3.8 stars based on 5 votes

1 reviews, Read the reviews","4--1/2 pounds, barley (pale malt)","4 ounces, wheat malt","8 ounces, Munich malt","9 ounces, Crystal/Chocolate mixture","4 ounces, Black Patent","1/4 cup, molasses","1.6 ounces, Cascade Hops (5.8AAU) (Bittering)","1/2 ounce, Mt. Hood Hops (3.8AAU??) (Bittering)","0.4 oz Cascade (finish)","Wyeast English Ale","null","null","Add all grains, crushed, to 6qts water at 55C. Wait 30 min. Raise temp to 62C (Added 2qts boiling water) Wait 75 min. Raise temp to 75C. Wait 5 min. Sparge with 75C water. Bring to boil, add molasses, Cascade, and Mt. Hood hops. Boil one hour. Add finishing hops. Boil 5 min. Cool down in sink. Add yeast from starter."
"Malty Cider (Homebrewtalk)","https://beerrecipes.org/Recipe/7944/malty-cider-homebrewtalk.html","Beer Style: New England Cider (28A)

Recipe Type: partial mash

Yield: 5 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","1 lbs - Corn Sugar (Dextrose) (0.0 SRM) (Grain)","1 pkgs - Lalvin - K1V-1116 (Lallemand - Lalvin #K1V-1116) (Yeast)","9 lbs - Fresh Cider (3.0 SRM) (Grain)","null","null","null","null","null","null","null","null","null","null"
"Gluten Free: Sorghum and Buckwheat - v1","https://beerrecipes.org/Recipe/943/gluten-free-sorghum-and-buckwheat-v1.html","Beer Style: Special/Best/Premium Bitter (8B)

Recipe Type: partial mash

Yield: 5 US gallons","Source:
Jonathan","3.8 stars based on 21 votes

No reviews","8lbs - Liquid Sorghum Malt Extract from Northern Brewers (This may be the Briess liquid extract, but I'm unsure).","12oz of buckwheat I malted and slowly baked at ~120 for a few hours, then cooked at 210 for 40min, 235 for 20 more minutes and finally 250 for another 20 minutes. (I found this never got the degree of color or scent I might have expected, but I'm hoping for something akin to a crystal in effect.)","12oz of buckwheat prepared at 120, then roasted at 400-450 for ~30 minutes. This was a tan grain and started having a toasted nut scent.","12oz of green malted buckwheat, roasted at 525 for 45 minutes. This was a darker brown, but not as dark as a chocolate malt for example.","Hops: 1oz of Hallertauer, 1oz of Tettnanger, 1oz of Amarillo, 1oz of Pacific Ace","Yeast: Thames Ale Yeast","null","null","null","null","null","null","The weights for the buckwheat are the final weights, initial weights were higher due to water content. Also the roasting of the buckwheat is clearly where I need to do a lot of experimenting. The recipes for temperatures for barley clearly don't translate. The buckwheat seems to need cooking for significantly longer to see any effects in terms of toasted character. I have no idea if we can replicate something similar to a crystal malt with buckwheat.



Steep the combined buckwheat grains for 40 minutes at 160. I didn't crack them this time. I'll try to crack them next time.



Bring the water to a boil, add the sorghum extract and hallertauer.

At 30 minutes add the Tettnanger

At 45 minutes add the Amarillo

At 57 minutes add the Pacific Ace"
"New Speckled Hen","https://beerrecipes.org/Recipe/9198/new-speckled-hen.html","Beer Style: Extra Special/Strong Bitter (English Pale Ale) (8C)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.052 (12.8° P)
 Final Gravity: 1.012 SG (3.0° P)
 Alcohol by Vol: 5.3%
 Color SRM: 12.9  Color Sample 
 Bitterness IBU: 37.6
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","4.0 stars based on 1 votes

1 reviews, Read the reviews","8 lbs - Pale Malt (2 Row) UK (3.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 80L (80.0 SRM) (Grain)","4.0 oz - Brown Malt (65.0 SRM) (Grain)","0.5 oz - Challenger [7.5%] - First Wort (Hops)","4.0 oz - Brown Sugar, Dark (50.0 SRM) (Grain)","4.0 oz - Cane (Beet) Sugar (0.0 SRM) (Grain)","1.0 oz - Challenger [7.5%] - Boil 60 min (Hops)","0.5 oz - Goldings, East Kent [5.0%] - Boil 15 min (Hops)","1.0 oz - Goldings, East Kent [5.0%] - Boil 1 min (Hops)","1 pkgs - Nottingham (Danstar #-) (Yeast)","null","null","null"
"Schizophrenia Espresso Porter","https://beerrecipes.org/Recipe/472/schizophrenia-espresso-porter.html","Beer Style: Robust Porter (12B)

Recipe Type: extract

Yield: 5 US gallons","Source:
Jim Nasiatka-Wylde","3.8 stars based on 10 votes

No reviews","3.3# M&F Amber Malt extract","3.3# John Bull Dark Malt Extract","1# Black Patent Malt","1/4# Crystal Malt","1.5 oz Northern Brewers Hop Pellets - main boil","1 oz Tettnanger Hop Pellets - finish","1/2# Espresso - coarsely ground","ale yeast","null","null","null","null","Steep grains while bringing water to a boil (50 minutes); add extract return to boil add hops and boil for 45 min. Reduce heat and add Espresso - steep for 10 minutes; return to boil and add finishing hops for 5 minutes; sparge, chill, and pitch."
"Brown mountain","https://beerrecipes.org/Recipe/7517/brown-mountain.html","Beer Style: Southern English Brown (11B)

Recipe Type: all-grain

Yield: 5.28 US gallons","null","4.0 stars based on 1 votes

1 reviews, Read the reviews","4 lbs 6.5 oz - Münchnermalt (9.1 SRM) (Grain)","2 lbs 3.3 oz - Pale Ale (2-row) (3.0 SRM) (Grain)","10.6 oz - Café Light (126.9 SRM) (Grain)","3.5 oz - Choklad Malt (456.9 SRM) (Grain)","0.7 oz - Roasted Barley (659.9 SRM) (Grain)","0.5 oz - Goldings, East Kent [5.0%] - Boil 60 min (Hops)","0.5 oz - Goldings, East Kent [5.0%] - Boil 15 min (Hops)","0.9 oz - Goldings, East Kent [5.0%] - Boil 5 min (Hops)","1 pkgs - SafAle English Ale (DCL/Fermentis #S-04) (Yeast)","null","null","null","null"
